NewQuestion,MC,
QuestionText,"Which SQL command defines a new table's structure?",
Option,0,"Ignores referential checks",

NewQuestion,MC,
QuestionText,"What does the GROUP BY clause do?",
Option,0,"Orders rows",
Option,100,"Groups rows that share common column values",
Option,0,"Filters results",
Option,0,"Deletes duplicates",

NewQuestion,MC,
QuestionText,"Which aggregate function returns the highest numeric value?",
Option,0,"AVG()",
Option,0,"SUM()",
Option,100,"MAX()",
Option,0,"MIN()",

NewQuestion,MC,
QuestionText,"Which SQL keyword combines two result sets and keeps all duplicates?",
Option,0,"UNION",
Option,0,"INTERSECT",
Option,100,"UNION ALL",
Option,0,"JOIN",

NewQuestion,MC,
QuestionText,"In the Event Management schema, which field in the Event table references the Category table?",
Option,100,"category_id",
Option,0,"event_id",
Option,0,"organizer",
Option,0,"participant_id",

NewQuestion,MC,
QuestionText,"When analyzing performance, what does an execution plan show?",
Option,0,"Only runtime errors",
Option,0,"Table row counts",
Option,100,"How the database will access and join data",
Option,0,"Only syntax issues",

NewQuestion,MC,
QuestionText,"What does the keyword `DISTINCT` do in a SELECT statement?",
Option,0,"Sorts results alphabetically",
Option,100,"Removes duplicate rows from the output",
Option,0,"Groups rows by unique values",
Option,0,"Filters rows based on a condition",

NewQuestion,MC,
QuestionText,"Which SQL clause determines how rows are grouped for aggregate calculations?",
Option,100,"GROUP BY",
Option,0,"WHERE",
Option,0,"HAVING",
Option,0,"ORDER BY",

NewQuestion,MC,
QuestionText,"In an ER diagram, what does a crow's-foot symbol typically represent?",
Option,0,"Primary key",
Option,100,"One-to-many relationship",
Option,0,"Unique constraint",
Option,0,"Foreign key reference",

NewQuestion,MC,
QuestionText,"What does the PostgreSQL command `\dt` display in psql?",
Option,100,"A list of all tables in the current schema",
Option,0,"The definition of a single table",
Option,0,"The data inside a table",
Option,0,"All database users",

NewQuestion,MC,
QuestionText,"What is the main advantage of using Docker Compose for PostgreSQL labs?",
Option,0,"It encrypts all database data automatically",
Option,100,"It standardizes the environment across student machines",
Option,0,"It optimizes SQL queries automatically",
Option,0,"It provides graphical dashboards only",

NewQuestion,MC,
QuestionText,"Which keyword limits the number of rows returned in PostgreSQL?",
Option,0,"FETCH ALL",
Option,0,"OFFSET",
Option,100,"LIMIT",
Option,0,"WHERE ROWNUM",

NewQuestion,MC,
QuestionText,"What keyword is used to combine rows from two queries including duplicates?",
Option,0,"INTERSECT",
Option,100,"UNION ALL",
Option,0,"UNION",
Option,0,"JOIN",

NewQuestion,MC,
QuestionText,"Which SQL clause is evaluated first in a query's logical order of execution?",
Option,0,"ORDER BY",
Option,100,"FROM",
Option,0,"SELECT",
Option,0,"GROUP BY",

NewQuestion,MC,
QuestionText,"What is the function of the DEFAULT constraint?",
Option,100,"Provides an automatic value when none is supplied",
Option,0,"Prevents NULL values",
Option,0,"Ensures uniqueness",
Option,0,"Triggers auto-increment behavior",

NewQuestion,MC,
QuestionText,"What type of join includes all rows from both tables, matching where possible?",
Option,0,"INNER JOIN",
Option,100,"FULL OUTER JOIN",
Option,0,"RIGHT JOIN",
Option,0,"LEFT JOIN",

NewQuestion,MC,
QuestionText,"What statement permanently removes all rows from a table but keeps its structure?",
Option,0,"DROP TABLE",
Option,100,"TRUNCATE TABLE",
Option,0,"DELETE FROM",
Option,0,"RESET TABLE",

NewQuestion,MC,
QuestionText,"What does an aggregate function operate on?",
Option,0,"Individual columns only",
Option,0,"Schema metadata",
Option,100,"Sets of rows to produce a single result value",
Option,0,"Stored procedures",

NewQuestion,MC,
QuestionText,"Which SQL function returns the average of numeric values?",
Option,0,"MAX()",
Option,100,"AVG()",
Option,0,"COUNT()",
Option,0,"MEDIAN()",

NewQuestion,MC,
QuestionText,"Which constraint ensures that an event's end date occurs after its start date?",
Option,0,"UNIQUE",
Option,0,"DEFAULT",
Option,100,"CHECK",
Option,0,"FOREIGN KEY",

NewQuestion,MC,
QuestionText,"In PostgreSQL, which data type stores long text such as event descriptions?",
Option,0,"VARCHAR(50)",
Option,0,"CHAR(255)",
Option,100,"TEXT",
Option,0,"SMALLTEXT",

NewQuestion,MC,
QuestionText,"What keyword is used to create a relationship between two tables?",
Option,0,"JOINED BY",
Option,0,"LINK TABLE",
Option,100,"FOREIGN KEY",
Option,0,"RELATE TO",

NewQuestion,MC,
QuestionText,"Which PostgreSQL function returns the current system date and time?",
Option,0,"NOW()",
Option,100,"CURRENT_TIMESTAMP",
Option,0,"GETDATE()",
Option,0,"SYSDATE()",

NewQuestion,MC,
QuestionText,"When executing a multi-table query, which operator specifies the linking condition?",
Option,0,"USING JOIN",
Option,0,"LINK BY",
Option,100,"ON",
Option,0,"WITH",

NewQuestion,MC,
QuestionText,"Which clause restricts rows *before* aggregation takes place?",
Option,100,"WHERE",
Option,0,"HAVING",
Option,0,"GROUP BY",
Option,0,"LIMIT",

NewQuestion,MC,
QuestionText,"What does `\i /sql/03_seed.sql` do inside psql?",
Option,0,"Inserts a single record",
Option,100,"Executes the SQL commands from the seed file",
Option,0,"Displays all indexes",
Option,0,"Starts the Docker container",

NewQuestion,MC,
QuestionText,"What is the effect of using `ORDER BY column DESC`?",
Option,0,"Randomizes the order of rows",
Option,100,"Sorts results in descending order",
Option,0,"Filters out NULL values",
Option,0,"Displays only duplicates",

NewQuestion,MC,
QuestionText,"Which ACID property ensures that once a transaction is committed, it remains saved?",
Option,0,"Isolation",
Option,100,"Durability",
Option,0,"Atomicity",
Option,0,"Consistency",

NewQuestion,MC,
QuestionText,"What does the keyword `SERIAL` provide when defining a column in PostgreSQL?",
Option,0,"Encrypted data type",
Option,0,"Random number generator",
Option,100,"Auto-incrementing integer sequence",
Option,0,"Primary-key constraint automatically",

NewQuestion,MC,
QuestionText,"Why might you use a window function instead of GROUP BY?",
Option,100,"To calculate aggregates while retaining individual row details",
Option,0,"To combine data from multiple tables",
Option,0,"To limit rows returned",
Option,0,"To enforce referential integrity",

NewQuestion,MC,
QuestionText,"Which command in PostgreSQL displays all installed extensions?",
Option,0,"SHOW EXTENSIONS;",
Option,0,"\el",
Option,100,"\dx",
Option,0,"LIST EXTENSIONS",

